image_id,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22
train_American_Goldfinch_0026,0.240906,4111.959698,0.410976,0.556120,0.176642,0.469458,0.243109,0.486230,0.308253,0.219753,0.259140,0.298887,0.490411,0.056838,0.388048,0.538788,0.136309,0.398773,0.529277,0.173298,0.558195,0.666003,0.340125
train_American_Goldfinch_0027,0.055969,1776.555495,0.543461,0.592671,0.476931,0.564768,0.143779,0.367420,0.143028,0.139111,0.216314,0.609474,0.656862,0.606418,0.558219,0.603536,0.532009,0.479450,0.525762,0.341390,0.526700,0.584524,0.427906
train_American_Goldfinch_0028,0.146851,7647.641898,0.739458,0.747748,0.753692,0.745926,0.328039,0.336335,0.314025,0.331088,0.358152,0.727955,0.738073,0.752034,0.743423,0.751364,0.744440,0.739501,0.746170,0.753813,0.746955,0.755384,0.764479
train_American_Goldfinch_0029,0.059143,1086.802709,0.429899,0.522047,0.102042,0.446612,0.129603,0.495307,0.163705,0.128289,0.128450,0.452975,0.539509,0.072503,0.369042,0.509523,0.061876,0.484180,0.520248,0.160764,0.413401,0.518909,0.113024
train_American_Goldfinch_0030,0.102783,2251.029667,0.641178,0.631079,0.526846,0.622257,0.147858,0.356388,0.157475,0.150789,0.208148,0.678676,0.660314,0.530984,0.614827,0.617659,0.522563,0.635140,0.628560,0.517984,0.636072,0.617785,0.535853
train_American_Goldfinch_0031,0.063904,600.654867,0.277422,0.312708,0.123443,0.280582,0.173365,0.438228,0.212956,0.183962,0.064865,0.220038,0.251973,0.094998,0.304080,0.338517,0.113388,0.232468,0.292382,0.138316,0.353104,0.367961,0.147072
train_American_Goldfinch_0032,0.198730,2026.069205,0.402178,0.423497,0.196796,0.391284,0.193929,0.414189,0.213170,0.204546,0.138825,0.439787,0.448127,0.223866,0.470670,0.497765,0.220801,0.351381,0.375438,0.170914,0.346876,0.372656,0.171605
train_American_Goldfinch_0033,0.141541,1672.236294,0.377191,0.392890,0.274862,0.374739,0.207012,0.375992,0.221724,0.202237,0.248763,0.477610,0.505153,0.434230,0.536359,0.524810,0.399879,0.291947,0.294985,0.178433,0.202847,0.246614,0.086904
train_American_Goldfinch_0034,0.165588,928.223658,0.535023,0.649186,0.313808,0.576831,0.150661,0.433364,0.145947,0.167459,0.166172,0.582399,0.722049,0.322507,0.521259,0.625407,0.326685,0.514194,0.625164,0.273216,0.522240,0.624126,0.332825
train_American_Goldfinch_0035,0.077026,1493.729407,0.338455,0.434184,0.281302,0.388107,0.208879,0.411962,0.235637,0.213646,0.202296,0.275401,0.402042,0.255570,0.487874,0.573943,0.329605,0.199500,0.336105,0.213750,0.391046,0.424644,0.326284
train_American_Goldfinch_0036,0.258972,3373.923720,0.543359,0.488974,0.209120,0.473344,0.154825,0.437680,0.199027,0.185217,0.149688,0.535414,0.507110,0.198699,0.473840,0.545025,0.171726,0.575001,0.443771,0.238061,0.589181,0.459992,0.227995
train_American_Goldfinch_0037,0.085876,1938.328343,0.414905,0.485067,0.216028,0.433441,0.182040,0.434648,0.176881,0.210634,0.117589,0.423722,0.493164,0.189919,0.460719,0.500122,0.253044,0.387804,0.469266,0.221161,0.387375,0.477716,0.199989
train_American_Goldfinch_0038,0.073975,671.697473,0.444164,0.468233,0.364547,0.449214,0.164914,0.366682,0.170258,0.162453,0.217314,0.470806,0.494461,0.404542,0.514810,0.520540,0.382297,0.417314,0.454368,0.404943,0.373727,0.403563,0.266406
train_American_Goldfinch_0039,0.361755,7393.307739,0.664993,0.570854,0.440374,0.584135,0.179481,0.396722,0.195727,0.178205,0.204756,0.588584,0.520977,0.394398,0.697390,0.608424,0.461996,0.672728,0.562200,0.440815,0.701269,0.591814,0.464286
train_American_Goldfinch_0040,0.056396,1402.082003,0.258042,0.287129,0.205110,0.269089,0.190316,0.382696,0.201706,0.193295,0.176562,0.178271,0.209214,0.118273,0.340329,0.355321,0.274635,0.243958,0.293081,0.170287,0.269610,0.290902,0.257245
train_American_Goldfinch_0041,0.052612,1594.210936,0.908020,0.902381,0.872210,0.900726,0.186822,0.338484,0.176265,0.176998,0.285171,0.963247,0.953660,0.931682,0.950837,0.942879,0.945768,0.876830,0.873516,0.827401,0.841167,0.839470,0.783990
train_Blue_Jay_0000,0.247803,2413.040039,0.557721,0.650159,0.287257,0.581167,0.182273,0.434849,0.191000,0.194529,0.253624,0.517683,0.624124,0.293021,0.629890,0.727252,0.327036,0.599405,0.694658,0.281053,0.483905,0.554601,0.247916
train_Blue_Jay_0001,0.299072,7086.230155,0.267331,0.315647,0.245125,0.293157,0.212228,0.381169,0.217332,0.231655,0.229473,0.284753,0.334274,0.262778,0.263524,0.310798,0.261753,0.235396,0.284728,0.189623,0.285651,0.332788,0.266346
train_Blue_Jay_0002,0.059265,1131.648898,0.476093,0.516821,0.470977,0.499431,0.202046,0.353046,0.194674,0.200785,0.234984,0.469013,0.512421,0.483303,0.600663,0.640709,0.613935,0.456145,0.494302,0.438033,0.378550,0.419850,0.348637
train_Blue_Jay_0003,0.260132,3489.312364,0.272003,0.323582,0.222738,0.296679,0.155191,0.395421,0.162529,0.156627,0.156576,0.266495,0.300802,0.211414,0.254755,0.340591,0.195608,0.231845,0.258276,0.177760,0.334917,0.394659,0.306169
train_Blue_Jay_0004,0.097229,1021.180822,0.334988,0.378401,0.132437,0.337367,0.092250,0.447374,0.097461,0.097806,0.130579,0.337996,0.375731,0.145161,0.331444,0.383543,0.099261,0.322473,0.351244,0.183153,0.348039,0.403085,0.102173
train_Blue_Jay_0005,0.100647,1107.871814,0.340822,0.335576,0.340515,0.337708,0.180590,0.335154,0.172598,0.183331,0.203714,0.307772,0.305000,0.315631,0.358098,0.340668,0.347524,0.326583,0.336007,0.347895,0.370836,0.360627,0.351012
train_Blue_Jay_0006,0.253906,3235.696649,0.582337,0.502326,0.412551,0.516018,0.144503,0.388947,0.163865,0.148216,0.183150,0.589911,0.522439,0.505249,0.594526,0.490007,0.392791,0.577738,0.507234,0.378365,0.567173,0.489623,0.373800
train_Blue_Jay_0007,0.280396,6062.183836,0.446722,0.467488,0.309554,0.443286,0.240711,0.382008,0.269796,0.242997,0.247428,0.551015,0.559751,0.306866,0.428756,0.480949,0.304597,0.447683,0.437731,0.268115,0.359433,0.391520,0.358639
train_Blue_Jay_0008,0.292908,5903.925422,0.607092,0.572391,0.551977,0.580425,0.204943,0.350624,0.235197,0.201688,0.185117,0.595967,0.558567,0.535905,0.594013,0.539037,0.501875,0.490055,0.498928,0.527747,0.748331,0.693032,0.642383
train_Blue_Jay_0009,0.058228,1095.477599,0.213976,0.310725,0.121119,0.260199,0.161386,0.481133,0.158393,0.177861,0.173077,0.204374,0.332928,0.099076,0.241765,0.373172,0.150978,0.222163,0.284412,0.144283,0.187602,0.252389,0.090138
train_Blue_Jay_0010,0.287903,5210.972914,0.394092,0.368796,0.338016,0.372875,0.243629,0.357971,0.280193,0.238101,0.218484,0.380557,0.345491,0.320737,0.468567,0.450481,0.416013,0.311674,0.294657,0.279500,0.415571,0.384557,0.335816
train_Blue_Jay_0011,0.262451,4465.102504,0.544925,0.577791,0.359156,0.543053,0.148070,0.389906,0.162434,0.142990,0.196251,0.540767,0.567863,0.402965,0.547931,0.574029,0.290535,0.588542,0.611657,0.403427,0.502462,0.557616,0.339699
train_Blue_Jay_0012,0.199097,2863.474132,0.509018,0.485177,0.455543,0.488941,0.293593,0.351110,0.279547,0.297667,0.322409,0.645920,0.651570,0.629144,0.359343,0.310017,0.280501,0.473742,0.459678,0.422107,0.557067,0.519444,0.490419
train_Blue_Jay_0013,0.098877,1756.700926,0.465443,0.513678,0.498690,0.497513,0.175357,0.347594,0.169465,0.180224,0.212805,0.432495,0.448955,0.386840,0.556729,0.645733,0.675958,0.444670,0.453701,0.368646,0.427879,0.506324,0.563315
train_Blue_Jay_0014,0.147339,2178.024136,0.383210,0.387268,0.400315,0.387574,0.228282,0.341918,0.249296,0.225051,0.216927,0.236090,0.277365,0.316052,0.262404,0.281209,0.316347,0.545395,0.534974,0.528214,0.488950,0.455522,0.440649
train_Blue_Jay_0015,0.246582,3889.719697,0.519025,0.478848,0.426829,0.484977,0.164356,0.364304,0.167000,0.168630,0.174231,0.532634,0.512400,0.466519,0.552687,0.551231,0.551288,0.466883,0.387051,0.307297,0.523895,0.464711,0.382213
train_Blue_Jay_0016,0.280396,4700.493061,0.428936,0.464974,0.448448,0.452307,0.233304,0.346386,0.261800,0.228344,0.206350,0.293145,0.360427,0.373208,0.318607,0.373564,0.362992,0.544869,0.558771,0.528964,0.559123,0.567133,0.528628
train_Blue_Jay_0017,0.335022,8091.825995,0.548064,0.487274,0.370974,0.492188,0.201386,0.389717,0.222383,0.202788,0.179458,0.642026,0.576463,0.460061,0.563334,0.519598,0.391687,0.562100,0.473608,0.350333,0.424796,0.379428,0.281815
train_Blue_Jay_0018,0.144226,1253.360089,0.595348,0.622791,0.635935,0.616088,0.290673,0.342993,0.305416,0.287753,0.285459,0.661422,0.686750,0.713312,0.588301,0.593708,0.586242,0.593013,0.650978,0.680440,0.538655,0.559728,0.563745
train_Blue_Jay_0019,0.209961,1408.122705,0.406086,0.414904,0.318296,0.401243,0.185938,0.364179,0.202181,0.190883,0.247352,0.403979,0.459083,0.424208,0.396986,0.460541,0.380439,0.388267,0.390597,0.240057,0.435113,0.349395,0.228481
train_Blue_Jay_0020,0.266785,4864.408357,0.309004,0.342533,0.292015,0.326750,0.280479,0.363025,0.285759,0.280982,0.298447,0.212007,0.254044,0.198119,0.246338,0.303431,0.205911,0.521664,0.523847,0.506786,0.256007,0.288809,0.257244
train_Blue_Jay_0021,0.157959,1362.865367,0.368948,0.448599,0.333315,0.411644,0.167930,0.389794,0.164078,0.183370,0.199751,0.345854,0.421105,0.305794,0.434735,0.496284,0.430992,0.312910,0.387717,0.210614,0.382292,0.489290,0.385859
train_Blue_Jay_0022,0.166138,2572.655525,0.265659,0.386421,0.261186,0.336049,0.208350,0.423120,0.245538,0.199136,0.266866,0.296729,0.374722,0.242218,0.223631,0.433253,0.310400,0.278226,0.365402,0.293469,0.264052,0.372308,0.198658
train_Blue_Jay_0023,0.131042,1466.838014,0.636197,0.595845,0.598354,0.608205,0.160831,0.347573,0.193732,0.154572,0.141962,0.676428,0.646694,0.667795,0.567298,0.566616,0.604075,0.638347,0.581569,0.558104,0.662715,0.588502,0.563443
train_Blue_Jay_0024,0.253174,5528.313163,0.420670,0.471797,0.402624,0.448638,0.270268,0.364297,0.289567,0.259204,0.304899,0.257391,0.317087,0.207113,0.207793,0.327654,0.176841,0.536496,0.542754,0.534731,0.680999,0.699695,0.691810
train_Blue_Jay_0025,0.054626,929.802996,0.566411,0.507428,0.324522,0.504219,0.238643,0.405054,0.269797,0.240581,0.174751,0.524075,0.450200,0.317620,0.625795,0.545773,0.364332,0.447221,0.401519,0.266478,0.668554,0.632218,0.349656
train_Blue_Jay_0026,0.216614,2038.978703,0.521316,0.531374,0.516605,0.526698,0.175903,0.338607,0.178566,0.173814,0.198281,0.549941,0.583900,0.586418,0.488563,0.512610,0.513266,0.587878,0.567108,0.513478,0.458882,0.461876,0.453259
train_Blue_Jay_0027,0.114624,1262.580601,0.462253,0.487035,0.356468,0.464740,0.187363,0.372991,0.219723,0.188764,0.171817,0.546942,0.543997,0.292847,0.491686,0.526861,0.353959,0.471279,0.490659,0.450370,0.339107,0.386622,0.328698
train_Blue_Jay_0028,0.265259,3801.272844,0.581610,0.563256,0.563084,0.568744,0.247485,0.340531,0.245824,0.249811,0.251635,0.505523,0.476176,0.468843,0.575721,0.544248,0.537673,0.604812,0.598588,0.606938,0.640386,0.634013,0.638880
train_Blue_Jay_0029,0.231323,1374.645744,0.365392,0.441075,0.276370,0.399662,0.171749,0.407333,0.177525,0.176018,0.167424,0.363338,0.433956,0.274689,0.478956,0.547353,0.356071,0.300116,0.380704,0.238012,0.319159,0.402288,0.236706
train_Blue_Jay_0030,0.280273,2869.861482,0.351379,0.457038,0.363927,0.414830,0.180222,0.389850,0.178342,0.183474,0.196491,0.401074,0.503051,0.404117,0.289304,0.399728,0.311504,0.354055,0.448948,0.342681,0.361083,0.476424,0.397407
train_Blue_Jay_0031,0.138794,1610.750370,0.314766,0.318852,0.335613,0.319518,0.235023,0.346268,0.249621,0.233338,0.217002,0.392967,0.408518,0.438800,0.172716,0.179243,0.204315,0.541300,0.519939,0.496594,0.152082,0.167706,0.202745
train_Blue_Jay_0032,0.093689,1080.176825,0.576277,0.538618,0.381405,0.531954,0.223009,0.385135,0.210826,0.226636,0.267721,0.548362,0.481573,0.328913,0.639842,0.609940,0.514463,0.536515,0.518546,0.373336,0.580390,0.544414,0.308909
train_Blue_Jay_0033,0.115967,1019.990889,0.425683,0.550304,0.397919,0.495672,0.127613,0.400540,0.147721,0.133881,0.156436,0.489302,0.633939,0.473002,0.454612,0.557048,0.369333,0.418160,0.542208,0.446966,0.340658,0.468021,0.302375
train_Blue_Jay_0034,0.230957,2757.076217,0.504546,0.508090,0.506405,0.506839,0.160418,0.334481,0.163404,0.160003,0.164017,0.498119,0.510215,0.510262,0.559962,0.562550,0.563388,0.489277,0.488829,0.482197,0.470828,0.470766,0.469773
train_Blue_Jay_0035,0.107300,1147.321089,0.330168,0.432718,0.342618,0.391789,0.097846,0.391421,0.113929,0.094813,0.128248,0.300484,0.444019,0.334442,0.277343,0.420978,0.313583,0.339266,0.444769,0.328606,0.403578,0.421106,0.393843
train_Blue_Jay_0036,0.067505,1279.937961,0.568941,0.633353,0.374317,0.584570,0.107891,0.401718,0.110546,0.127680,0.109032,0.608333,0.677615,0.375224,0.518247,0.581409,0.402349,0.585465,0.659381,0.378413,0.563717,0.615007,0.341280
train_Blue_Jay_0037,0.326538,3148.687554,0.476680,0.501553,0.266305,0.467300,0.136379,0.403003,0.164451,0.132241,0.139477,0.483937,0.514813,0.292452,0.500126,0.521269,0.281417,0.493121,0.496194,0.276488,0.429536,0.473935,0.214862
train_Blue_Jay_0038,0.116882,1671.222467,0.528902,0.513835,0.522261,0.519262,0.129149,0.337957,0.139337,0.130170,0.129926,0.498323,0.491548,0.528946,0.536706,0.530137,0.542607,0.516458,0.481531,0.467068,0.564120,0.552126,0.550422
train_Blue_Jay_0039,0.204285,1835.097617,0.503147,0.324107,0.302593,0.375182,0.222700,0.445323,0.278362,0.232458,0.246349,0.616195,0.241323,0.214947,0.435440,0.192838,0.149308,0.450745,0.394573,0.355517,0.510208,0.467693,0.490601
train_Blue_Jay_0040,0.307312,2750.730679,0.383060,0.348490,0.365336,0.360742,0.109390,0.349225,0.120145,0.111578,0.135440,0.387694,0.337844,0.393440,0.399948,0.364255,0.377459,0.388569,0.354444,0.358145,0.356029,0.337417,0.332300
train_Blue_Jay_0041,0.087280,1161.883970,0.335051,0.407295,0.254446,0.368284,0.130084,0.408606,0.134384,0.126025,0.190214,0.360539,0.457383,0.226806,0.282421,0.358038,0.216205,0.316840,0.396812,0.223395,0.380406,0.416948,0.351379
train_Cardinal_0000,0.074829,762.401413,0.406731,0.330572,0.350611,0.355629,0.102842,0.373863,0.126953,0.108261,0.116522,0.434367,0.313457,0.320058,0.372594,0.315412,0.329531,0.420090,0.347264,0.364751,0.399873,0.346155,0.388104
train_Cardinal_0001,0.082764,589.860801,0.500086,0.482570,0.484403,0.488003,0.224741,0.340877,0.214727,0.229449,0.249591,0.588302,0.579595,0.588413,0.377917,0.337690,0.322269,0.621500,0.611500,0.622169,0.412624,0.401496,0.404758
train_Cardinal_0002,0.132446,633.811346,0.298589,0.290227,0.343235,0.298771,0.160230,0.368258,0.154857,0.173473,0.249617,0.278326,0.341793,0.464100,0.289732,0.269372,0.315825,0.333781,0.339870,0.391472,0.292518,0.209872,0.201542
train_Cardinal_0003,0.265564,4789.739965,0.518755,0.456201,0.401088,0.468615,0.263733,0.376990,0.271234,0.266391,0.265360,0.567873,0.496009,0.412875,0.433414,0.388085,0.352477,0.559225,0.479600,0.412063,0.514510,0.461108,0.426938
train_Cardinal_0004,0.060486,1189.574772,0.629950,0.588298,0.437514,0.583581,0.252670,0.380459,0.220531,0.277456,0.258136,0.716263,0.736711,0.556253,0.683307,0.604507,0.485785,0.604313,0.584563,0.423028,0.515916,0.427414,0.284991
train_Cardinal_0005,0.114441,1356.260058,0.611302,0.551573,0.496067,0.563118,0.153657,0.368489,0.167961,0.155607,0.169954,0.597283,0.515087,0.423272,0.635815,0.599650,0.563345,0.531202,0.490465,0.443064,0.680908,0.601090,0.554589
train_Cardinal_0006,0.094849,2343.370334,0.787871,0.659822,0.516017,0.681726,0.158213,0.401216,0.149554,0.170862,0.150238,0.825780,0.648832,0.507204,0.847447,0.755674,0.602501,0.718154,0.590438,0.447630,0.760106,0.644345,0.506734
train_Cardinal_0007,0.090820,850.003244,0.381902,0.280406,0.245807,0.306795,0.159151,0.420544,0.231923,0.151622,0.128447,0.478501,0.308808,0.270359,0.351653,0.282755,0.247765,0.442372,0.330089,0.275694,0.255082,0.199970,0.189408
train_Cardinal_0008,0.285645,2138.698500,0.548356,0.548842,0.520253,0.545428,0.143568,0.339325,0.128611,0.157563,0.156794,0.563307,0.534541,0.499376,0.589939,0.610034,0.554285,0.536747,0.550369,0.539320,0.503429,0.500424,0.488030
train_Cardinal_0009,0.142578,1891.053438,0.523659,0.446402,0.421998,0.466730,0.156168,0.376176,0.203089,0.163321,0.181933,0.465139,0.433741,0.391019,0.561901,0.485228,0.509097,0.499214,0.397378,0.345559,0.568384,0.469262,0.442317
train_Cardinal_0010,0.173523,1590.490557,0.228836,0.365004,0.135078,0.298066,0.187037,0.500748,0.214432,0.227527,0.162401,0.295589,0.372481,0.158033,0.144855,0.351584,0.082835,0.253272,0.399520,0.165505,0.221628,0.336432,0.133937
train_Cardinal_0011,0.054016,263.634237,0.781336,0.770741,0.740357,0.770377,0.166257,0.340833,0.155417,0.173054,0.206846,0.847486,0.776873,0.775768,0.825843,0.821759,0.797220,0.831588,0.838989,0.833416,0.620429,0.645342,0.555025
train_Cardinal_0012,0.177307,1612.515068,0.442199,0.327343,0.283360,0.356648,0.147606,0.419981,0.204291,0.156889,0.157971,0.428051,0.347892,0.306038,0.484700,0.293524,0.232335,0.406206,0.318603,0.286932,0.449839,0.349355,0.308134
train_Cardinal_0013,0.056702,385.108501,0.728472,0.574897,0.515665,0.614147,0.168447,0.400472,0.135534,0.195571,0.214968,0.758674,0.666302,0.617657,0.719584,0.491053,0.429484,0.765821,0.636303,0.589511,0.669808,0.505931,0.426009
train_Cardinal_0014,0.167419,3088.857144,0.557821,0.546082,0.541401,0.549110,0.222740,0.339038,0.214055,0.231429,0.239892,0.542121,0.492365,0.478353,0.626312,0.642249,0.652943,0.510625,0.499164,0.482349,0.552224,0.550551,0.551961
train_Cardinal_0015,0.238342,3703.356291,0.337300,0.312962,0.314353,0.320413,0.177660,0.349673,0.203905,0.175856,0.174235,0.304275,0.295789,0.315189,0.219055,0.228449,0.278867,0.392363,0.328657,0.275462,0.433508,0.398952,0.387893
train_Cardinal_0016,0.114868,2663.062008,0.874807,0.867552,0.855022,0.868262,0.244819,0.336803,0.226872,0.252151,0.270075,0.964101,0.967166,0.960106,0.670438,0.672891,0.641152,0.889024,0.848172,0.840631,0.975663,0.981980,0.978200
train_Cardinal_0017,0.060181,473.995389,0.576019,0.515910,0.487980,0.530744,0.088910,0.364590,0.084627,0.118312,0.136594,0.569372,0.542529,0.544185,0.573679,0.538983,0.522992,0.572367,0.474387,0.425191,0.588658,0.507742,0.459553
train_Cardinal_0018,0.074036,637.835576,0.511191,0.453070,0.510985,0.477044,0.123384,0.346512,0.179012,0.188089,0.277501,0.507779,0.487840,0.551224,0.596806,0.404175,0.442968,0.449253,0.554124,0.664754,0.490925,0.366142,0.384993
train_Cardinal_0019,0.209229,5418.231689,0.806888,0.783916,0.784463,0.790881,0.229410,0.339704,0.196524,0.248885,0.259589,0.899408,0.900390,0.910824,0.907549,0.907386,0.916968,0.666068,0.593854,0.581955,0.754528,0.734033,0.728107
train_Cardinal_0020,0.089661,695.619842,0.438774,0.357602,0.309930,0.376414,0.106960,0.396612,0.121344,0.108104,0.101898,0.490866,0.401029,0.354647,0.448041,0.378608,0.328918,0.412214,0.339185,0.288835,0.403976,0.311587,0.267320
train_Cardinal_0021,0.088745,1158.991779,0.617140,0.592692,0.593324,0.600055,0.093649,0.342255,0.088932,0.097999,0.105342,0.625346,0.594233,0.591098,0.633588,0.613961,0.611989,0.608035,0.587239,0.591874,0.601590,0.575335,0.578335
