image_id,hog_pca_0,hog_pca_1,hog_pca_2,hog_pca_3,hog_pca_4,hog_pca_5,hog_pca_6,hog_pca_7,hog_pca_8,hog_pca_9,hog_pca_10,hog_pca_11,hog_pca_12,hog_pca_13,hog_pca_14,hog_pca_15,hog_pca_16,hog_pca_17,hog_pca_18,hog_pca_19,hog_pca_20,hog_pca_21,hog_pca_22,hog_pca_23,hog_pca_24,hog_pca_25,hog_pca_26,hog_pca_27,hog_pca_28,hog_pca_29,hog_pca_30,hog_pca_31,hog_pca_32,hog_pca_33,hog_pca_34,hog_pca_35,hog_pca_36,hog_pca_37,hog_pca_38,hog_pca_39,hog_pca_40,hog_pca_41,hog_pca_42,hog_pca_43,hog_pca_44,hog_pca_45,hog_pca_46,hog_pca_47,hog_pca_48,hog_pca_49,hog_pca_50,hog_pca_51,hog_pca_52,hog_pca_53,hog_pca_54,hog_pca_55,hog_pca_56,hog_pca_57,hog_pca_58,hog_pca_59,hog_pca_60,hog_pca_61,hog_pca_62,hog_pca_63,hog_pca_64,hog_pca_65,hog_pca_66,hog_pca_67,hog_pca_68,hog_pca_69,hog_pca_70,hog_pca_71,hog_pca_72,hog_pca_73,hog_pca_74,hog_pca_75,hog_pca_76,hog_pca_77,hog_pca_78,hog_pca_79,hog_pca_80,hog_pca_81,hog_pca_82,hog_pca_83,hog_pca_84,hog_pca_85,hog_pca_86,hog_pca_87,hog_pca_88,hog_pca_89,hog_pca_90,hog_pca_91,hog_pca_92,hog_pca_93,hog_pca_94,hog_pca_95,hog_pca_96,hog_pca_97,hog_pca_98,hog_pca_99
train_American_Goldfinch_0010,0.499279,-0.823298,0.509541,-0.742977,-0.798651,-0.643968,0.507662,-0.514449,0.277036,0.220805,-0.710629,-0.157827,0.830839,-0.067732,-0.596855,-0.373533,-0.279821,-0.147167,0.413073,0.005404,-0.318471,0.220319,0.045716,0.614226,-0.148854,0.013485,0.777770,0.087111,-0.639897,-0.320092,-0.441855,-0.385602,1.049474,-0.198439,0.687554,-0.014987,-0.344835,-0.362344,-0.003106,-0.040759,0.197942,0.296537,0.043889,0.022146,-0.059506,-0.096758,-0.104328,0.143851,0.440262,-0.458423,-0.082930,0.045325,0.316005,0.136617,0.020761,-0.040872,0.241299,0.044585,0.155060,-0.093216,0.191582,0.015137,0.652062,-0.173463,0.226105,0.670910,0.329134,-0.254962,-0.224477,-0.051733,0.048573,-0.014472,0.164683,0.224622,0.062026,-0.117844,-0.080044,-0.268709,-0.447166,-0.149165,0.110613,-0.174179,-0.152300,0.031500,-0.511448,-0.326313,0.031000,-0.536031,0.090678,0.282163,0.055168,-0.448614,0.144719,-0.520393,0.318951,0.069598,-0.101567,-0.016506,-0.127110,0.082988
train_American_Goldfinch_0011,0.860357,-0.556334,-0.253728,-0.511493,-0.408544,-0.886459,0.172322,-0.332997,0.768931,0.039956,0.020055,0.502919,-0.305933,-0.156399,0.026023,0.009469,0.039998,0.449338,-0.186302,0.649668,-0.642938,-0.004248,0.235525,0.085550,0.017889,-0.488204,0.010410,-0.211559,0.540844,0.767810,0.045525,-0.161975,-0.222656,0.461449,-0.235513,0.506080,0.376445,0.273480,0.173780,0.390415,-0.180765,0.130748,0.564607,-0.047013,0.460636,-0.120231,0.066590,-0.190097,0.578705,-0.097276,0.418507,0.424439,-0.481448,0.171383,0.627289,0.082810,-0.595235,0.240623,-0.344014,0.544895,0.255614,-0.459143,0.293772,-0.143925,-0.316383,0.083471,0.026348,0.082394,-0.229174,0.275139,0.174627,0.264700,-0.274579,0.417727,0.486135,-0.566481,0.562312,-0.161635,0.408497,0.060169,0.109054,0.126205,0.079454,0.126383,-0.010756,-0.426038,0.030097,0.006194,-0.230220,-0.508385,0.002815,-0.368512,0.291277,0.216289,-0.139542,0.078295,0.285327,-0.169058,0.120222,0.012260
train_American_Goldfinch_0012,1.924286,-0.482564,-0.562714,-0.078298,-0.556426,-0.624249,0.143442,-0.252543,0.354329,-0.483210,0.010540,-0.685772,0.111922,-0.047792,0.463332,0.139055,0.053435,-0.049495,0.541454,0.082705,0.145228,-0.132102,-0.261461,-0.130837,0.311383,0.022707,0.121904,0.198908,0.183778,-0.176261,0.161468,-0.008861,0.133947,0.429164,-0.359486,0.052103,0.247083,0.002257,0.166571,0.016583,0.028275,0.071526,0.248801,-0.238804,0.032575,-0.117400,0.224832,-0.065988,-0.077599,-0.071291,0.108229,0.092221,0.091088,-0.001213,-0.062589,0.034043,-0.124256,0.144721,-0.152541,0.048434,-0.253796,-0.140504,-0.007944,0.411060,0.018620,0.037615,-0.054929,0.047853,-0.049505,0.099189,0.314056,0.066204,0.052144,-0.041784,0.284327,0.013378,0.039916,-0.076010,0.080067,-0.135506,-0.086736,-0.216711,0.152942,-0.079291,-0.309609,-0.038580,0.115531,0.088864,0.067954,-0.010223,-0.138442,-0.057769,0.037983,0.245361,0.062060,0.077074,-0.085456,0.012178,0.052881,0.018930
train_American_Goldfinch_0013,1.193024,1.328269,-0.753914,0.017374,0.950279,-0.823573,0.735068,0.023378,0.086313,0.738909,0.671090,-0.189147,-0.737314,-0.106359,0.344318,-0.233972,-0.090854,-0.446744,0.398141,-0.603373,-0.163617,0.611224,0.295839,0.505956,0.206090,-0.662450,-0.481973,-0.292681,-0.355305,-0.053805,0.385943,0.348758,0.525792,0.233476,0.302093,-0.216034,-0.583802,-0.203849,0.605606,-0.447902,0.629878,-0.203524,0.547314,-0.266677,-0.562483,0.003411,0.060365,0.188179,0.015447,0.678668,0.097107,-0.358642,0.218037,0.467847,0.591545,0.461368,0.301428,0.139916,-0.540641,-0.197362,0.286070,0.296452,-0.429659,-0.188584,0.251911,-0.290114,0.146223,-0.327149,0.337430,-0.351121,-0.008681,-0.308532,0.227259,-0.071175,0.248414,-0.244286,-0.384170,0.269785,0.233357,0.171590,0.227016,0.010113,-0.056136,-0.390945,-0.350000,0.017983,-0.476584,0.274910,0.315981,0.209670,0.059323,-0.074001,0.001841,0.270432,0.030649,-0.233623,0.085227,-0.024233,-0.115157,-0.110741
train_American_Goldfinch_0014,-1.648245,0.934264,-0.350842,0.899373,1.213678,0.288429,1.079693,0.472686,-0.708430,0.748273,1.147075,0.979362,0.385031,0.316214,0.108075,-0.361455,0.721318,-0.738805,0.586781,0.633415,0.340032,-0.220409,-0.048402,-0.012904,-0.443872,0.156099,-0.656152,0.008896,-0.022612,0.430140,-0.044667,0.109039,0.243394,0.175953,-0.344671,0.521296,0.312926,-0.120602,0.143287,-0.038802,0.303380,0.241760,-0.326536,-0.199434,0.306040,-0.352930,-0.054554,0.006653,0.490301,-0.836443,0.306670,0.381567,0.468490,0.245653,-0.526143,0.101442,0.643108,0.147855,0.003465,-0.159114,-0.071374,0.300580,-0.079418,0.057737,-0.210879,-0.023044,-0.268324,0.064015,0.164851,0.184433,0.025326,-0.170389,0.085970,-0.611902,-0.396036,0.771966,-0.219155,0.434433,-0.244726,-0.167514,0.144330,-0.106818,0.064486,-0.038106,0.088143,-0.394543,0.358036,-0.448698,0.073590,-0.022668,-0.057000,-0.148214,0.133500,-0.142402,0.181369,-0.002618,0.061697,-0.006749,-0.214793,-0.042754
train_American_Goldfinch_0015,1.214788,-0.174982,-0.416938,0.416864,-0.145307,0.900753,-0.004777,-0.058114,0.501973,-0.411690,-0.077396,0.649530,-0.149007,-0.379393,0.119469,-0.895496,0.848895,-0.377995,-0.396387,0.135142,-0.343776,0.576693,0.014916,-0.268447,-0.488565,-0.305199,0.405037,0.181100,-0.013499,-0.358918,-0.080229,0.003784,0.505680,-0.120772,-0.052496,-0.378508,0.420908,-0.254546,-0.267540,0.114018,-0.009517,0.101170,-0.473133,-0.564631,0.218619,0.351222,-0.196616,-0.297466,0.072315,0.466430,-0.314726,-0.255123,-0.120874,0.159392,-0.002884,-0.215279,-0.008734,0.176331,0.003212,0.061978,-0.186497,0.049125,0.651290,-0.040038,-0.210277,0.076055,0.280392,0.398698,-0.001022,0.121901,0.138136,-0.150427,-0.221616,0.047372,-0.267692,0.215932,-0.222737,-0.051511,-0.080510,0.183444,-0.121807,-0.041497,-0.019230,0.151707,-0.437862,-0.054069,-0.147800,0.045770,-0.187804,-0.151493,-0.065589,0.391809,0.114113,0.035834,0.014135,0.016748,0.078874,-0.012850,-0.067311,-0.426574
train_American_Goldfinch_0016,0.213014,1.673652,1.229886,2.600813,0.677555,-0.507957,-0.302472,0.571904,0.835924,-0.139918,0.274448,-0.065089,0.091115,0.647848,-0.093782,-0.043668,0.237233,1.516203,-0.073145,0.599520,0.232987,0.187664,0.599462,0.547073,0.031811,-0.840780,0.991584,0.280160,-0.147319,0.275976,-0.805949,-0.140202,0.110513,0.195180,0.336932,0.350142,-0.039687,-0.200158,-0.307693,-0.171191,-0.384527,-0.072995,-0.227346,-0.024266,0.100215,0.331711,0.049889,0.073928,0.452848,0.553223,0.207401,-0.072639,-0.187651,0.388429,-0.156980,-0.129443,-0.068507,0.099098,0.309104,-0.110672,-0.053773,0.215051,-0.316321,-0.040478,0.336159,0.120067,0.153269,0.125648,0.263738,-0.255666,-0.100393,0.114248,0.737121,0.141249,0.230017,0.226268,-0.268076,0.028833,0.132357,0.069488,0.026659,-0.107471,0.240396,0.042099,0.021028,0.111999,0.037774,-0.113135,-0.108086,-0.207972,0.209525,-0.151005,0.034054,0.100489,-0.102590,0.447269,0.343051,-0.287026,0.282218,-0.004507
train_American_Goldfinch_0017,0.759720,1.633212,-0.725385,0.231319,-0.264115,-0.168165,0.574064,0.382997,0.147222,0.452884,0.423393,-0.495192,-0.046309,0.131542,-0.057353,-0.128869,0.061156,-0.414667,-0.353390,-0.157835,-0.661216,0.133080,0.550177,0.081682,-0.264168,-0.135941,0.448708,-0.080285,-0.236673,0.181408,-0.414340,-0.058145,-0.523966,-0.487021,0.036397,-0.620158,-0.244457,-0.661621,0.535374,0.026446,-0.513206,-0.263250,0.294030,-0.478110,0.480240,-0.433622,0.242167,-0.011989,-0.466039,-0.160899,0.257807,-0.214821,-0.043111,-0.356288,0.273398,-0.052853,0.036849,-0.014466,0.407374,-0.417170,0.195514,-0.279729,0.250930,-0.097674,0.002631,0.159058,0.144023,-0.319149,0.046084,0.110567,0.225833,-0.018149,0.304240,-0.179597,-0.211287,-0.260835,-0.174246,0.492901,0.127546,0.090396,-0.124148,-0.075425,-0.039095,-0.192641,0.287326,0.064894,0.164081,0.090596,-0.152449,-0.375848,0.049455,0.250574,-0.103808,-0.037943,0.160983,-0.488195,-0.127593,0.131013,0.037594,0.125465
train_American_Goldfinch_0018,-0.941865,-0.655231,-0.501440,-0.134638,-0.370623,-0.194834,-0.102329,0.007149,1.194233,-0.080361,-0.186619,0.124401,0.014850,-0.292992,0.118963,-0.607346,-0.468383,-0.207402,-0.370196,0.524264,-0.099958,0.168925,0.406071,-0.103384,-0.157515,-0.448007,0.218968,0.159868,-0.145887,-0.133354,-0.264080,0.142441,-0.025853,0.171511,0.518389,-0.443929,0.039163,0.335597,0.124409,-0.305450,-0.168588,0.377833,0.461269,0.167980,0.113173,-0.377976,0.557199,-0.111196,-0.111986,-0.383117,-0.030498,-0.110700,-0.036231,-0.015373,-0.430579,0.166488,-0.108871,-0.134485,-0.273480,0.326807,-0.310228,0.039956,-0.191012,0.062638,0.504556,-0.061825,-0.005259,0.035568,0.338699,-0.028844,0.132094,0.507195,0.052568,-0.224363,-0.075269,0.215496,0.049180,-0.095725,-0.162214,-0.550654,-0.130674,-0.229622,0.068452,0.251739,0.449833,0.115390,-0.296972,-0.072519,0.048739,-0.166203,-0.093990,-0.328024,-0.181815,-0.283975,-0.564214,0.186605,-0.094450,-0.332991,-0.013490,-0.497695
train_American_Goldfinch_0019,-0.112968,-0.674470,-0.698105,0.083348,0.013204,-0.128119,-0.546232,0.250993,-0.048013,0.295941,0.059957,-0.612570,0.103027,0.163320,-0.087034,-0.121823,-0.132384,-0.075352,0.243559,0.156209,0.008708,0.447262,0.216319,-0.017068,-0.272420,-0.032279,0.232214,0.162576,0.008812,0.129061,0.131355,-0.047487,0.002804,0.203361,0.136578,-0.058127,-0.263430,0.143471,-0.156648,0.053516,0.222286,0.088885,-0.131763,0.221698,-0.095688,-0.020016,-0.218176,0.035759,-0.100776,0.074894,0.179642,-0.340755,-0.052549,-0.159955,0.016937,0.081028,0.209074,0.086116,0.235712,-0.082370,-0.114002,0.119967,-0.097256,-0.180382,-0.251599,0.018540,-0.132345,0.028375,0.050138,-0.096109,-0.087145,-0.208741,0.105433,-0.091752,0.018312,0.153712,-0.059247,0.043488,-0.013184,-0.009108,0.029551,-0.054816,0.186178,0.070500,0.177988,0.331862,0.085339,0.111161,-0.124143,-0.000779,-0.064846,-0.006181,0.045995,0.064558,-0.140671,0.066351,-0.089200,-0.110186,0.121587,0.046800
train_American_Goldfinch_0020,2.743296,-0.586723,2.929318,0.678178,-0.864212,-0.952940,0.082376,-0.544578,-0.924029,-0.565207,0.761111,0.269552,-0.251843,-1.138129,0.806020,-0.117665,-0.165497,0.075638,0.064079,0.056611,-0.405898,0.206424,-0.247895,0.072994,0.344383,-0.432007,0.109087,-0.081940,-0.215515,0.474572,0.063385,0.706729,0.319557,-0.353045,0.226974,0.838813,0.430958,-0.207872,-0.051955,-0.205333,-0.521434,-0.075051,0.458867,-0.182216,0.330769,-0.177531,-0.032144,0.568433,0.056582,-0.091377,0.186147,0.198573,-0.172719,0.467055,0.066522,-0.031586,-0.430394,0.173114,-0.076899,0.395738,-0.252940,0.034181,0.125966,0.260638,-0.097599,0.088137,0.259819,0.313585,0.077126,-0.024749,-0.270915,-0.343077,-0.563695,0.164346,-0.145470,0.176935,-0.224716,0.356278,-0.245674,-0.187358,0.006637,0.053132,0.021515,-0.009320,0.329578,-0.000616,-0.123618,0.258724,0.177446,-0.101717,-0.036879,-0.468761,0.065853,0.115552,-0.008732,0.073879,-0.076076,0.149953,-0.331905,-0.084601
