image_id,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80,color_81,color_82,color_83,color_84,color_85,color_86,color_87,color_88,color_89,color_90,color_91,color_92,color_93,color_94,color_95
train_American_Goldfinch_0010,0.007812,0.024231,0.015137,0.021484,0.047974,0.085327,0.122620,0.106140,0.120056,0.107056,0.077942,0.066345,0.034058,0.034119,0.035889,0.028625,0.016479,0.006714,0.002808,0.001404,0.001709,0.001221,0.001221,0.001221,0.001343,0.001404,0.001465,0.001831,0.003296,0.004517,0.006958,0.011597,0.004639,0.021484,0.015137,0.014526,0.022705,0.027161,0.063660,0.072144,0.085632,0.104553,0.107788,0.105591,0.086914,0.044373,0.045227,0.043396,0.028748,0.025818,0.020020,0.015686,0.007568,0.003479,0.002197,0.001770,0.001160,0.002747,0.003601,0.004089,0.006775,0.007996,0.002808,0.000610,0.065552,0.117676,0.153137,0.176514,0.141907,0.079651,0.080811,0.052124,0.030396,0.025269,0.024963,0.026489,0.018066,0.004700,0.000916,0.000549,0.000610,0.000122,0.000244,0.000061,0.000000,0.000061,0.000061,0.000000,0.000000,0.000000,0.000000,0.000061,0.000061,0.000000,0.000000,0.000000
train_American_Goldfinch_0011,0.006165,0.003723,0.005615,0.006653,0.016968,0.034668,0.021912,0.023682,0.047241,0.055115,0.038513,0.027832,0.027771,0.026672,0.030457,0.035156,0.046570,0.049438,0.048340,0.050293,0.047974,0.054749,0.056213,0.059204,0.048462,0.039124,0.036072,0.019531,0.016541,0.018860,0.000488,0.000000,0.003296,0.004333,0.003418,0.005798,0.007812,0.009155,0.014221,0.020203,0.044495,0.069153,0.043213,0.026855,0.024841,0.023865,0.022644,0.026733,0.034790,0.034912,0.038147,0.045410,0.053223,0.047607,0.048523,0.059204,0.063538,0.072510,0.054382,0.052734,0.038696,0.005737,0.000549,0.000000,0.052979,0.035522,0.029785,0.019470,0.028320,0.047180,0.041443,0.043823,0.042603,0.037964,0.041382,0.048645,0.050537,0.056519,0.058350,0.074707,0.067566,0.047607,0.045776,0.039734,0.027710,0.023682,0.014343,0.021973,0.002258,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0012,0.000427,0.000916,0.001343,0.001526,0.002808,0.004333,0.008789,0.013916,0.025330,0.039612,0.054138,0.078979,0.085693,0.087524,0.074585,0.066895,0.057190,0.051514,0.047546,0.041748,0.036804,0.035645,0.033569,0.029358,0.028137,0.019775,0.020630,0.013611,0.009521,0.005615,0.004028,0.018494,0.000366,0.000916,0.001770,0.001831,0.002808,0.002625,0.003662,0.006958,0.011353,0.015564,0.031250,0.046143,0.066284,0.088562,0.095337,0.099426,0.093323,0.074951,0.058594,0.050354,0.039978,0.036194,0.032349,0.028259,0.025635,0.021118,0.017883,0.013000,0.010315,0.006775,0.003540,0.012878,0.000427,0.003662,0.008362,0.018616,0.034851,0.080627,0.127380,0.152039,0.117981,0.092529,0.064392,0.054626,0.041992,0.034668,0.026611,0.022095,0.019958,0.017944,0.015686,0.014038,0.015076,0.011475,0.008484,0.005798,0.004395,0.002441,0.002441,0.001099,0.000244,0.000061,0.000000,0.000000
train_American_Goldfinch_0013,0.001587,0.005676,0.005493,0.010986,0.024963,0.027588,0.020935,0.014893,0.013428,0.012756,0.013184,0.015625,0.022339,0.023804,0.021912,0.027100,0.031494,0.025940,0.027466,0.040039,0.057678,0.103943,0.207458,0.138245,0.078918,0.013672,0.002502,0.001526,0.001221,0.001221,0.001404,0.005005,0.002441,0.009705,0.028259,0.042175,0.020752,0.011841,0.010742,0.014954,0.017944,0.022156,0.020386,0.021484,0.025940,0.026367,0.020264,0.018799,0.017761,0.018616,0.024292,0.026062,0.041260,0.069397,0.134888,0.188904,0.123596,0.031372,0.003723,0.001343,0.001404,0.001038,0.001038,0.001099,0.016418,0.062317,0.058716,0.028870,0.021423,0.019653,0.017456,0.014771,0.015137,0.013306,0.014771,0.014587,0.015076,0.014771,0.016235,0.014099,0.015686,0.016479,0.016296,0.019470,0.026184,0.038391,0.070740,0.103821,0.146545,0.144592,0.041992,0.002075,0.000061,0.000000,0.000000,0.000061
train_American_Goldfinch_0014,0.014038,0.009521,0.022522,0.021240,0.015564,0.016663,0.011658,0.010986,0.011597,0.034668,0.176147,0.237610,0.185547,0.014160,0.009705,0.013123,0.016113,0.020691,0.016541,0.011414,0.011108,0.010742,0.009705,0.007446,0.007446,0.009949,0.009888,0.010132,0.011841,0.010193,0.013062,0.018982,0.014160,0.009949,0.023804,0.020935,0.015015,0.015198,0.011719,0.011719,0.010254,0.010620,0.007446,0.015930,0.023315,0.018677,0.043335,0.126892,0.319885,0.153931,0.021790,0.008972,0.010437,0.011658,0.011597,0.010559,0.009705,0.011169,0.013733,0.011780,0.016296,0.009338,0.000183,0.000000,0.073242,0.038147,0.039856,0.039673,0.037903,0.079285,0.439209,0.158264,0.014771,0.011963,0.008301,0.007141,0.005432,0.004822,0.003540,0.003540,0.002502,0.002075,0.002625,0.001770,0.002686,0.001648,0.002258,0.002441,0.003052,0.004822,0.006836,0.002197,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0015,0.001953,0.011719,0.024048,0.031494,0.048889,0.090332,0.116272,0.119141,0.112488,0.067261,0.055176,0.050598,0.047485,0.049622,0.054871,0.034485,0.015991,0.007812,0.003601,0.003052,0.002869,0.002441,0.003662,0.004517,0.005005,0.003662,0.005188,0.005676,0.008301,0.007751,0.004517,0.000122,0.000916,0.006165,0.016296,0.019958,0.023071,0.024048,0.036682,0.054077,0.079773,0.129272,0.137268,0.165588,0.088928,0.054871,0.056885,0.033752,0.013916,0.004700,0.002502,0.003113,0.004456,0.004456,0.004456,0.006775,0.006042,0.009949,0.009094,0.002991,0.000000,0.000000,0.000000,0.000000,0.052734,0.117615,0.165955,0.171570,0.110168,0.057800,0.054199,0.050903,0.043213,0.038879,0.035706,0.038452,0.026733,0.016235,0.006653,0.003418,0.001526,0.001587,0.000977,0.001465,0.000793,0.001526,0.000732,0.000610,0.000427,0.000000,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0016,0.002808,0.001343,0.004028,0.004272,0.005676,0.010681,0.029419,0.035645,0.159851,0.181580,0.080750,0.082031,0.054382,0.056152,0.055847,0.047058,0.022400,0.018494,0.020325,0.020935,0.020325,0.017578,0.014221,0.013184,0.007751,0.006775,0.005493,0.004272,0.003601,0.003601,0.002930,0.006592,0.002869,0.001282,0.004150,0.004272,0.005554,0.010010,0.029724,0.036560,0.160461,0.181946,0.080872,0.082764,0.054443,0.055847,0.056030,0.047607,0.023682,0.017395,0.021118,0.020935,0.019409,0.018188,0.013855,0.012756,0.008240,0.006287,0.004578,0.004028,0.003906,0.003174,0.002197,0.005859,0.050659,0.003662,0.006104,0.008179,0.014709,0.020264,0.038513,0.038147,0.159119,0.180298,0.079407,0.084412,0.056458,0.056580,0.054199,0.042480,0.018188,0.009338,0.014648,0.014099,0.014343,0.012085,0.008850,0.007385,0.002808,0.001892,0.000854,0.000427,0.001038,0.000244,0.000305,0.000305
train_American_Goldfinch_0017,0.000000,0.000000,0.000000,0.000061,0.008240,0.028320,0.031250,0.033508,0.049683,0.135132,0.127869,0.090820,0.079956,0.129578,0.124390,0.027527,0.006531,0.007935,0.009338,0.009949,0.012146,0.014343,0.017822,0.022705,0.016174,0.008362,0.006165,0.002075,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002014,0.023315,0.035339,0.031616,0.087830,0.184875,0.108337,0.063171,0.050110,0.026733,0.044373,0.099426,0.106812,0.021973,0.012451,0.013550,0.017212,0.019470,0.020264,0.007080,0.008423,0.008789,0.005493,0.001343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.004761,0.020569,0.033813,0.069275,0.212646,0.191956,0.140076,0.156799,0.110962,0.027161,0.011230,0.006165,0.004883,0.002625,0.001465,0.001526,0.000977,0.000671,0.000488,0.000183,0.000122,0.000549,0.000427,0.000061,0.000183,0.000366,0.000000,0.000000
train_American_Goldfinch_0018,0.004211,0.003296,0.004211,0.005005,0.007080,0.010742,0.011230,0.014160,0.020630,0.027283,0.045166,0.056274,0.057739,0.069763,0.082275,0.080383,0.079895,0.080200,0.059631,0.058044,0.050049,0.049194,0.034363,0.021118,0.013855,0.013062,0.013123,0.009888,0.006409,0.004395,0.003418,0.003906,0.003662,0.002380,0.001892,0.003479,0.004883,0.007263,0.008362,0.009766,0.008972,0.011353,0.016785,0.028015,0.031860,0.037415,0.050110,0.055298,0.075684,0.085388,0.078247,0.065308,0.057800,0.053223,0.054810,0.052979,0.050476,0.046143,0.034546,0.023926,0.013855,0.010803,0.007935,0.007385,0.065735,0.041931,0.047607,0.062378,0.071533,0.077759,0.081482,0.082520,0.080505,0.075012,0.067261,0.054138,0.043701,0.034607,0.028137,0.019226,0.017456,0.010925,0.008118,0.006226,0.005493,0.004761,0.004944,0.003662,0.001953,0.001465,0.000854,0.000183,0.000244,0.000122,0.000000,0.000061
train_American_Goldfinch_0019,0.000000,0.000000,0.001648,0.002625,0.003113,0.002075,0.001404,0.001770,0.002197,0.002686,0.004883,0.006958,0.012268,0.020386,0.029724,0.044739,0.056885,0.060181,0.071777,0.074768,0.078125,0.081543,0.087891,0.086914,0.088745,0.078552,0.052612,0.027405,0.012329,0.005249,0.000488,0.000061,0.000061,0.000916,0.003662,0.002747,0.002380,0.001282,0.001831,0.001831,0.002136,0.003113,0.005859,0.010193,0.016602,0.024841,0.035339,0.044983,0.057129,0.065735,0.070190,0.068787,0.073181,0.078491,0.081177,0.085632,0.081116,0.074036,0.050964,0.028503,0.015503,0.008301,0.002991,0.000488,0.017944,0.008789,0.011292,0.011475,0.013062,0.015015,0.017517,0.018066,0.022156,0.023804,0.028442,0.032410,0.033508,0.036438,0.036316,0.041870,0.042725,0.047302,0.046326,0.048279,0.049988,0.052307,0.051270,0.052429,0.054382,0.052612,0.048218,0.035767,0.023743,0.013611,0.008789,0.004150
train_American_Goldfinch_0020,0.074463,0.001099,0.001221,0.001221,0.001099,0.052307,0.150024,0.125244,0.115784,0.097290,0.035034,0.024048,0.023621,0.020081,0.018188,0.017517,0.020203,0.020020,0.018066,0.022583,0.018433,0.012573,0.014709,0.019104,0.014648,0.013306,0.013184,0.016174,0.014282,0.005371,0.006470,0.012634,0.074585,0.001221,0.001221,0.001221,0.001099,0.024902,0.153137,0.168213,0.149170,0.083191,0.032715,0.026123,0.020874,0.023315,0.024170,0.022339,0.020813,0.020325,0.017456,0.016663,0.015686,0.014587,0.014465,0.011841,0.014709,0.015320,0.012573,0.007690,0.003967,0.004089,0.001709,0.000610,0.079285,0.005859,0.127930,0.247314,0.124023,0.039551,0.037781,0.040710,0.025574,0.024353,0.024109,0.026855,0.022461,0.018738,0.018311,0.018066,0.020386,0.016052,0.014343,0.013367,0.012634,0.012146,0.014099,0.010193,0.003418,0.001770,0.000549,0.000122,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0021,0.000061,0.000122,0.000122,0.000122,0.000488,0.000549,0.001038,0.001282,0.004578,0.005249,0.005310,0.006042,0.006775,0.009705,0.011230,0.015442,0.331787,0.440613,0.014160,0.012085,0.010986,0.013550,0.013184,0.012695,0.014038,0.014404,0.013245,0.011475,0.007812,0.007446,0.005920,0.008484,0.000183,0.000244,0.000427,0.000916,0.002319,0.003601,0.008850,0.010864,0.009705,0.010132,0.007874,0.008423,0.007202,0.009460,0.009766,0.008545,0.011169,0.012329,0.014465,0.011780,0.015686,0.020020,0.202271,0.555054,0.033264,0.010437,0.006714,0.003418,0.001892,0.001099,0.000793,0.001099,0.002869,0.002014,0.004211,0.006104,0.008179,0.008118,0.010498,0.010376,0.008911,0.009155,0.008667,0.010742,0.011292,0.008911,0.012024,0.011169,0.008972,0.010925,0.015076,0.011902,0.007996,0.007446,0.008972,0.008057,0.006409,0.009827,0.097107,0.641724,0.028503,0.002869,0.000427,0.000549
train_American_Goldfinch_0022,0.022949,0.012817,0.012268,0.012207,0.011658,0.013855,0.016357,0.027649,0.033813,0.066345,0.065796,0.072388,0.058960,0.044250,0.036194,0.040710,0.037231,0.039307,0.038635,0.031738,0.023804,0.010498,0.007935,0.009338,0.002686,0.002502,0.008484,0.006714,0.006226,0.002075,0.001465,0.223145,0.028137,0.014404,0.014160,0.011841,0.012268,0.010376,0.011169,0.014648,0.030762,0.044434,0.077087,0.078613,0.069824,0.058350,0.042664,0.039612,0.035034,0.036377,0.031311,0.033386,0.025269,0.014709,0.007568,0.008667,0.002136,0.001587,0.008301,0.007080,0.005005,0.002014,0.000488,0.222717,0.064514,0.031311,0.030823,0.034058,0.040588,0.055176,0.059692,0.062073,0.054138,0.047241,0.039795,0.027039,0.022949,0.022095,0.018555,0.020142,0.020508,0.019775,0.018250,0.016418,0.017822,0.012268,0.004639,0.007812,0.007019,0.002380,0.008667,0.006897,0.002747,0.000916,0.001587,0.222107
train_American_Goldfinch_0023,0.000305,0.004883,0.019531,0.009827,0.007935,0.011658,0.007874,0.006653,0.007080,0.009338,0.012451,0.018005,0.020325,0.022644,0.022644,0.042114,0.059082,0.060791,0.094910,0.098938,0.154968,0.099976,0.074341,0.045837,0.058044,0.020142,0.005127,0.002014,0.001526,0.000671,0.000305,0.000061,0.000244,0.002136,0.019897,0.010925,0.008057,0.012146,0.009216,0.007996,0.008972,0.015320,0.018738,0.013245,0.012756,0.012573,0.010498,0.012634,0.017273,0.017639,0.035461,0.043823,0.068542,0.094116,0.131897,0.163818,0.127075,0.059143,0.032471,0.024292,0.008606,0.000427,0.000061,0.000000,0.000916,0.037170,0.049744,0.029297,0.020386,0.046326,0.044800,0.075989,0.073242,0.077942,0.086426,0.132141,0.095642,0.066040,0.043823,0.027832,0.020264,0.010071,0.013306,0.029175,0.013428,0.002197,0.000916,0.001099,0.001282,0.000549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_American_Goldfinch_0024,0.006470,0.005188,0.004272,0.042053,0.040283,0.048462,0.075562,0.071716,0.065552,0.073730,0.071533,0.095947,0.129822,0.089050,0.049561,0.040710,0.003723,0.002930,0.003113,0.003235,0.003601,0.002869,0.002625,0.002869,0.003418,0.003479,0.003601,0.004089,0.003540,0.003418,0.005371,0.038208,0.003113,0.007385,0.002441,0.002869,0.003540,0.003601,0.005127,0.016724,0.030823,0.027161,0.028381,0.036316,0.056580,0.055908,0.047729,0.064148,0.073181,0.071594,0.093079,0.118896,0.106506,0.062439,0.024475,0.005127,0.004211,0.003906,0.004089,0.004578,0.006775,0.009460,0.013428,0.006409,0.294739,0.206970,0.222900,0.149109,0.057739,0.033142,0.005981,0.003174,0.001892,0.001831,0.001465,0.001648,0.001770,0.002197,0.001465,0.001526,0.001648,0.001160,0.001526,0.001526,0.001404,0.001221,0.001099,0.000916,0.000305,0.000793,0.000183,0.000549,0.000061,0.000061,0.000000,0.000000
train_American_Goldfinch_0025,0.002014,0.004150,0.006836,0.010132,0.014038,0.019287,0.024292,0.021484,0.024475,0.027710,0.028137,0.028809,0.036011,0.044067,0.057678,0.080811,0.092407,0.084717,0.079102,0.074768,0.065125,0.047852,0.043884,0.030884,0.016479,0.011292,0.005676,0.005127,0.004089,0.003174,0.001770,0.003723,0.001770,0.002869,0.003784,0.004150,0.004456,0.007874,0.012024,0.016785,0.020264,0.020874,0.024963,0.029053,0.030151,0.044495,0.067932,0.086060,0.090881,0.091919,0.104980,0.099304,0.070862,0.052246,0.039124,0.029236,0.017395,0.009766,0.006958,0.004517,0.001831,0.002197,0.001099,0.000183,0.018433,0.014648,0.019104,0.025879,0.036438,0.051941,0.071655,0.113708,0.148926,0.116089,0.093323,0.075684,0.049133,0.038696,0.032349,0.026855,0.020142,0.015625,0.009583,0.006165,0.004883,0.002991,0.001648,0.001160,0.000732,0.001282,0.000671,0.000671,0.000671,0.000305,0.000427,0.000183
